chart_week,current_week,title,performer,danceability,energy,loudness,speechiness,acousticness,liveness,tempo,valence,time_signature,duration_ms,genres
2023-11-04,3,Snooze,SZA,0.559,0.551,-7.231,0.132,0.141,0.11,143.008,0.392,4,201800,"['pop', 'r&b', 'rap']"
2023-11-04,4,I Remember Everything,Zach Bryan Featuring Kacey Musgraves,0.429,0.453,-7.746,0.0459,0.554,0.102,77.639,0.155,4,227196,['classic oklahoma country']
2023-11-04,5,Fast Car,Luke Combs,0.712,0.603,-5.52,0.0262,0.186,0.115,97.994,0.67,4,265493,"['contemporary country', 'country']"
2023-11-04,6,Last Night,Morgan Wallen,0.492,0.673,-5.431,0.0347,0.413,0.137,203.812,0.488,4,163855,['contemporary country']
2023-11-04,7,Thinkin' Bout Me,Morgan Wallen,0.659,0.789,-5.723,0.0293,0.487,0.115,139.982,0.468,4,177388,['contemporary country']
2023-11-04,8,IDGAF,Drake Featuring Yeat,0.673,0.672,-8.577,0.224,0.0466,0.193,136.902,0.14,4,260111,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']"
2023-11-04,9,Monaco,Bad Bunny,0.533,0.225,-27.771,0.0379,0.00128,0.11,124.99,0.301,4,222067,[]
2023-11-04,10,Fukumean,Gunna,0.847,0.622,-6.747,0.0903,0.119,0.285,130.001,0.22,4,125040,"['atl hip hop', 'melodic rap', 'rap', 'trap']"
2023-11-11,1,Is It Over Now? (Taylor's Version) [From The Vault],Taylor Swift,0.599,0.651,-7.343,0.035,0.0486,0.126,100.001,0.153,4,229478,['pop']
2023-11-11,2,Now That We Don't Talk (Taylor's Version) [From The Vault],Taylor Swift,0.8,0.509,-9.386,0.034,0.16,0.0834,109.994,0.0768,4,146437,['pop']
2023-11-11,3,Slut! (Taylor's Version) [From The Vault],Taylor Swift,0.621,0.415,-13.187,0.0543,0.33,0.0634,77.978,0.313,4,180381,['pop']
2023-11-11,4,Paint The Town Red,Doja Cat,0.868,0.538,-8.603,0.174,0.269,0.0901,99.968,0.732,4,231750,"['dance pop', 'pop']"
2023-11-11,5,Say Don't Go (Taylor's Version) [From The Vault],Taylor Swift,0.632,0.539,-8.375,0.0342,0.0684,0.132,109.962,0.186,4,279833,['pop']
2023-11-11,6,Cruel Summer,Taylor Swift,0.552,0.702,-5.707,0.157,0.117,0.105,169.994,0.564,4,178427,['pop']
2023-11-11,7,Bad Blood (Taylor's Version),Taylor Swift,0.624,0.711,-6.347,0.159,0.0369,0.19,169.999,0.347,4,211104,['pop']
2023-11-11,8,Snooze,SZA,0.559,0.551,-7.231,0.132,0.141,0.11,143.008,0.392,4,201800,"['pop', 'r&b', 'rap']"
2023-11-11,9,Style (Taylor's Version),Taylor Swift,0.514,0.821,-4.803,0.0444,0.000456,0.0946,94.884,0.298,4,231000,['pop']
2023-11-11,10,Suburban Legends (Taylor's Version) [From The Vault],Taylor Swift,0.695,0.607,-8.84,0.0357,0.212,0.102,118.043,0.394,4,171819,['pop']
2023-11-18,1,Cruel Summer,Taylor Swift,0.552,0.702,-5.707,0.157,0.117,0.105,169.994,0.564,4,178427,['pop']
2023-11-18,2,Paint The Town Red,Doja Cat,0.868,0.538,-8.603,0.174,0.269,0.0901,99.968,0.732,4,231750,"['dance pop', 'pop']"
2023-11-18,3,Is It Over Now? (Taylor's Version) [From The Vault],Taylor Swift,0.599,0.651,-7.343,0.035,0.0486,0.126,100.001,0.153,4,229478,['pop']
2023-11-18,4,Snooze,SZA,0.559,0.551,-7.231,0.132,0.141,0.11,143.008,0.392,4,201800,"['pop', 'r&b', 'rap']"
2023-11-18,5,Standing Next To You,Jung Kook,0.711,0.809,-4.389,0.0955,0.0447,0.339,106.017,0.816,4,206020,['k-pop']
2023-11-18,6,I Remember Everything,Zach Bryan Featuring Kacey Musgraves,0.429,0.453,-7.746,0.0459,0.554,0.102,77.639,0.155,4,227196,['classic oklahoma country']
