chart_week,current_week,title,performer,danceability,energy,loudness,speechiness,acousticness,liveness,tempo,valence,time_signature,duration_ms,genres
2023-08-05,7,K-POP,"Travis Scott, Bad Bunny & The Weeknd",0.814,0.618,-5.614,0.0619,0.0386,0.671,121.075,0.535,4,185221,"['rap', 'slap house']"
2023-08-05,8,Barbie World,Nicki Minaj & Ice Spice With Aqua,0.77,0.58,-8.393,0.247,0.519,0.233,144.072,0.753,4,109750,"['hip pop', 'pop', 'queens hip hop', 'rap']"
2023-08-05,9,Seven,Jung Kook Featuring Latto,0.788,0.841,-3.955,0.0432,0.301,0.0772,124.986,0.904,4,184400,['k-pop']
2023-08-05,10,Vampire,Olivia Rodrigo,0.484,0.53,-5.821,0.0538,0.154,0.263,136.848,0.323,4,219724,['pop']
2023-08-12,1,Last Night,Morgan Wallen,0.492,0.673,-5.431,0.0347,0.413,0.137,203.812,0.488,4,163855,['contemporary country']
2023-08-12,2,Fast Car,Luke Combs,0.712,0.603,-5.52,0.0262,0.186,0.115,97.994,0.67,4,265493,"['contemporary country', 'country']"
2023-08-12,3,Meltdown,Travis Scott Featuring Drake,0.557,0.774,-5.275,0.351,0.012,0.396,111.975,0.397,4,246134,"['rap', 'slap house']"
2023-08-12,4,Cruel Summer,Taylor Swift,0.552,0.702,-5.707,0.157,0.117,0.105,169.994,0.564,4,178427,['pop']
2023-08-12,5,FE!N,Travis Scott Featuring Playboi Carti,0.569,0.882,-2.777,0.06,0.0316,0.142,148.038,0.201,4,191701,"['rap', 'slap house']"
2023-08-12,6,Calm Down,Rema & Selena Gomez,0.811,0.781,-6.333,0.0428,0.376,0.121,107.007,0.824,4,219813,"['afrobeats', 'nigerian pop']"
2023-08-12,7,Fukumean,Gunna,0.847,0.622,-6.747,0.0903,0.119,0.285,130.001,0.22,4,125040,"['atl hip hop', 'melodic rap', 'rap', 'trap']"
2023-08-12,8,Barbie World,Nicki Minaj & Ice Spice With Aqua,0.77,0.58,-8.393,0.247,0.519,0.233,144.072,0.753,4,109750,"['hip pop', 'pop', 'queens hip hop', 'rap']"
2023-08-12,9,Vampire,Olivia Rodrigo,0.484,0.53,-5.821,0.0538,0.154,0.263,136.848,0.323,4,219724,['pop']
2023-08-12,10,Dance The Night,Dua Lipa,0.671,0.845,-4.93,0.048,0.0207,0.329,110.056,0.775,4,176579,"['dance pop', 'pop', 'uk pop']"
2023-08-19,1,Last Night,Morgan Wallen,0.492,0.673,-5.431,0.0347,0.413,0.137,203.812,0.488,4,163855,['contemporary country']
2023-08-19,2,Fast Car,Luke Combs,0.712,0.603,-5.52,0.0262,0.186,0.115,97.994,0.67,4,265493,"['contemporary country', 'country']"
2023-08-19,3,Cruel Summer,Taylor Swift,0.552,0.702,-5.707,0.157,0.117,0.105,169.994,0.564,4,178427,['pop']
2023-08-19,4,Calm Down,Rema & Selena Gomez,0.811,0.781,-6.333,0.0428,0.376,0.121,107.007,0.824,4,219813,"['afrobeats', 'nigerian pop']"
2023-08-19,5,Fukumean,Gunna,0.847,0.622,-6.747,0.0903,0.119,0.285,130.001,0.22,4,125040,"['atl hip hop', 'melodic rap', 'rap', 'trap']"
2023-08-19,6,Vampire,Olivia Rodrigo,0.484,0.53,-5.821,0.0538,0.154,0.263,136.848,0.323,4,219724,['pop']
2023-08-19,7,Dance The Night,Dua Lipa,0.671,0.845,-4.93,0.048,0.0207,0.329,110.056,0.775,4,176579,"['dance pop', 'pop', 'uk pop']"
2023-08-19,8,Barbie World,Nicki Minaj & Ice Spice With Aqua,0.77,0.58,-8.393,0.247,0.519,0.233,144.072,0.753,4,109750,"['hip pop', 'pop', 'queens hip hop', 'rap']"
2023-08-19,9,Flowers,Miley Cyrus,0.706,0.691,-4.775,0.0633,0.0584,0.0232,118.048,0.632,4,200600,['pop']
2023-08-19,10,Snooze,SZA,0.559,0.551,-7.231,0.132,0.141,0.11,143.008,0.392,4,201800,"['pop', 'r&b', 'rap']"
2023-08-26,1,Rich Men North Of Richmond,Oliver Anthony Music,0.678,0.264,-12.384,0.0622,0.753,0.302,121.722,0.528,4,187244,['modern country pop']
2023-08-26,2,Fast Car,Luke Combs,0.712,0.603,-5.52,0.0262,0.186,0.115,97.994,0.67,4,265493,"['contemporary country', 'country']"
2023-08-26,3,Last Night,Morgan Wallen,0.492,0.673,-5.431,0.0347,0.413,0.137,203.812,0.488,4,163855,['contemporary country']
2023-08-26,4,Cruel Summer,Taylor Swift,0.552,0.702,-5.707,0.157,0.117,0.105,169.994,0.564,4,178427,['pop']
2023-08-26,5,Calm Down,Rema & Selena Gomez,0.811,0.781,-6.333,0.0428,0.376,0.121,107.007,0.824,4,219813,"['afrobeats', 'nigerian pop']"
2023-08-26,6,Vampire,Olivia Rodrigo,0.484,0.53,-5.821,0.0538,0.154,0.263,136.848,0.323,4,219724,['pop']
2023-08-26,7,Fukumean,Gunna,0.847,0.622,-6.747,0.0903,0.119,0.285,130.001,0.22,4,125040,"['atl hip hop', 'melodic rap', 'rap', 'trap']"
2023-08-26,8,Dance The Night,Dua Lipa,0.671,0.845,-4.93,0.048,0.0207,0.329,110.056,0.775,4,176579,"['dance pop', 'pop', 'uk pop']"
2023-08-26,9,Barbie World,Nicki Minaj & Ice Spice With Aqua,0.77,0.58,-8.393,0.247,0.519,0.233,144.072,0.753,4,109750,"['hip pop', 'pop', 'queens hip hop', 'rap']"
2023-08-26,10,Bad Idea Right?,Olivia Rodrigo,0.631,0.881,-3.545,0.0995,0.00177,0.0639,129.981,0.808,4,184784,['pop']
2023-09-02,1,Rich Men North Of Richmond,Oliver Anthony Music,0.678,0.264,-12.384,0.0622,0.753,0.302,121.722,0.528,4,187244,['modern country pop']
2023-09-02,2,Fast Car,Luke Combs,0.712,0.603,-5.52,0.0262,0.186,0.115,97.994,0.67,4,265493,"['contemporary country', 'country']"
2023-09-02,3,Last Night,Morgan Wallen,0.492,0.673,-5.431,0.0347,0.413,0.137,203.812,0.488,4,163855,['contemporary country']
2023-09-02,4,Cruel Summer,Taylor Swift,0.552,0.702,-5.707,0.157,0.117,0.105,169.994,0.564,4,178427,['pop']
2023-09-02,5,Paint The Town Red,Doja Cat,0.868,0.538,-8.603,0.174,0.269,0.0901,99.968,0.732,4,231750,"['dance pop', 'pop']"
2023-09-02,6,Calm Down,Rema & Selena Gomez,0.811,0.781,-6.333,0.0428,0.376,0.121,107.007,0.824,4,219813,"['afrobeats', 'nigerian pop']"
2023-09-02,7,Fukumean,Gunna,0.847,0.622,-6.747,0.0903,0.119,0.285,130.001,0.22,4,125040,"['atl hip hop', 'melodic rap', 'rap', 'trap']"
